label_id,profession
0,web developer
1,graphic designer
2,data analyst
3,software engineer
4,project manager
5,marketing specialist
6,content writer
7,UX/UI designer
8,systems administrator
9,network engineer
10,devops engineer
11,product manager
12,customer support
13,SEO specialist
14,financial analyst
15,software tester
16,AI researcher
17,cybersecurity analyst
18,video editor
19,game developer
20,hardware engineer
21,cloud architect
22,technical writer
23,front-end developer
24,back-end developer
25,full-stack developer
26,scientific researcher
27,consultant
28,web designer
29,educator
30,entrepreneur
31,public relations specialist
32,legal advisor
33,logistics coordinator
34,operations manager
35,HR specialist
36,social media manager
37,chief technology officer
38,business analyst
39,quality assurance analyst
40,chief executive officer
41,mobile app developer
